id,text,class,ProcessedText,ProcessedText_length
3356,Star Wars hired me as a celebrity endorser of their new products. I was immediately fired http://t.co/9MvRJ9n1Up,1,star wars hired me as a celebrity endorser of their new products. i was immediately fired http://t.co/9mvrj9n1up,17
8496,Got hired for a new job today that will definitely change my life. Very thankful.,1,got hired for a new job today that will definitely change my life. very thankful.,15
3308,I was hired on April 1st started on the 2nd and today got my first write up. At this rate Ill be fired before the 15th!,1,i was hired on april 1st started on the 2nd and today got my first write up. at this rate ill be fired before the 15th!,26
9359,Got called from an extras service in California to work tomorrow and Friday on a movie set. I was picture chosen by producers..UNION VOUCHER,1,got called from an extras service in california to work tomorrow and friday on a movie set. i was picture chosen by producers..union voucher,24
2710,#Job #Bakersfield Store Protection Specialist at Ross Stores (Bakersfield CA): This position provides a visib... http://t.co/SaKYGbqOlU,0,#job #bakersfield store protection specialist at ross stores (bakersfield ca): this position provides a visib... http://t.co/sakygbqolu,16
4264,Looking for a job in Operations?  is hiring! $1000 bonus - Sign up to drive   #fired #layoff #work https://t.co/doGSHK7SVj https://t.co/CeGPYwMmxX,0,looking for a job in operations?  is hiring! $1000 bonus - sign up to drive   #fired #layoff #work https://t.co/dogshk7svj https://t.co/cegpywmmxx,23
2840,Looking for part time work or a work from home business or a job in Berkeley?: http://t.co/BfA6s0Tsk0 via @YouTube,0,looking for part time work or a work from home business or a job in berkeley?: http://t.co/bfa6s0tsk0 via @youtube,19
7597,Heres The Number One Quality Future Employers Want In A Job Candidatehttps://t.co/cuWsLGu5E6 via @forbes https://t.co/Jha3r97ymb,0,heres the number one quality future employers want in a job candidatehttps://t.co/cuwslgu5e6 via @forbes https://t.co/jha3r97ymb,15
922,Last week I got hired as the Scenic Designer of an awesome play! Today I was offered the Art Director position for a TV show! So thrilled!!!,1,last week i got hired as the scenic designer of an awesome play! today i was offered the art director position for a tv show! so thrilled!!!,27
9499,Today I left the ranks of the unemployed and joined the workforce again. #happyhappyhappy,1,today i left the ranks of the unemployed and joined the workforce again. #happyhappyhappy,14
1676,I just got hired in today and im already thinking of quitting by the end of the year....smh,1,i just got hired in today and im already thinking of quitting by the end of the year....smh,18
4773,If you are searching for a job make sure you follow @ServeUnemployed and check out their site http://t.co/1u4ax2vjED #Unemployed #Laidoff,0,if you are searching for a job make sure you follow @serveunemployed and check out their site http://t.co/1u4ax2vjed #unemployed #laidoff,20
8315,my roommate got hired right after me and our friend who lives on our floor works there too this is so cute,1,my roommate got hired right after me and our friend who lives on our floor works there too this is so cute,22
2226,Two weeks officially #unemployed and Ive recon firmed that being a #SAHM is not my thing. Best enjoy it whilst I can!,0,two weeks officially #unemployed and ive recon firmed that being a #sahm is not my thing. best enjoy it whilst i can!,22
1968,Ive now spent my night scrolling through about 800 job listings applied for about 20 or so. #Fingerscrossed for new life in my #jobhunt.,0,ive now spent my night scrolling through about 800 job listings applied for about 20 or so. #fingerscrossed for new life in my #jobhunt.,24
3562,Okay I need to get a job now this unemployment life was nice for awhile lol,0,okay i need to get a job now this unemployment life was nice for awhile lol,16
5811,WAIT WHAT ? WHO QUITS THEIR JOB BEFORE THEY GET AN INTERVIEW WITH THE NEXT COMPANY?....,0,wait what ? who quits their job before they get an interview with the next company?....,16
4353,@HeartCapricorn: #Capricorn needs to work on not getting so quickly turned off &amp; irritated. True,0,@heartcapricorn: #capricorn needs to work on not getting so quickly turned off &amp; irritated. true,15
1987,Im already subject to termination at work and I started 3 weeks ago lol . I need more clientele to end this job saga,1,im already subject to termination at work and i started 3 weeks ago lol . i need more clientele to end this job saga,24
9446,I was unemployed yesterday and have two jobs today lol #helookingoutforme,1,i was unemployed yesterday and have two jobs today lol #helookingoutforme,11
45,Ever since the sr. Director was laid off I feel like my job has become real. Need a raise naow!,0,ever since the sr. director was laid off i feel like my job has become real. need a raise naow!,20
4068,Got hired for a magic show tomorrow night who has a party on a Monday I do not know but I got hard for it,1,got hired for a magic show tomorrow night who has a party on a monday i do not know but i got hard for it,25
1991,First day at my new new job &amp; my boss is 10 mins late when I was 10 mins early..Hmm.,1,first day at my new new job &amp; my boss is 10 mins late when i was 10 mins early..hmm.,20
5023,I got fired from Rite Aid today....,0,i got fired from rite aid today....,7
4102,Hey I got hired full time today :),1,hey i got hired full time today :),8
1993,I was stressing over leaving my old job but my new job treat me like I own the place. You really gotta be willing to progress,1,i was stressing over leaving my old job but my new job treat me like i own the place. you really gotta be willing to progress,26
5855,Salary or equity? This website wants to help you understand startup job offers: https://t.co/mINlVwAUTE,0,salary or equity? this website wants to help you understand startup job offers: https://t.co/minlvwaute,14
5328,Unemployment its been real - but Ive got a new friend now. Its a senior-level position at RED Digital Cinema. They help make movies.,1,unemployment its been real - but ive got a new friend now. its a senior-level position at red digital cinema. they help make movies.,24
2590,Looking for a way to get fired....is that bad?,0,looking for a way to get fired....is that bad?,9
4744,Does anyone know of any place hiring?!,0,does anyone know of any place hiring?!,7
4106,I applied yesterday and I got hired today lmao @ahricynthia5 @__AdamCCXX,1,i applied yesterday and i got hired today lmao @ahricynthia5 @__adamccxx,11
3931,#Amazon is looking for a Senior #Financial #Analyst - IT Procurement apply now! (#Seattle) #job http://t.co/OUM6DfsNhY,0,#amazon is looking for a senior #financial #analyst - it procurement apply now! (#seattle) #job http://t.co/oum6dfsnhy,16
4061,Received a phone call today from Dollar General.  I got Hired! Woot woot!,1,received a phone call today from dollar general.  i got hired! woot woot!,14
7685,My résumé at this moment: does not do any extracurricular activities; has been laid off from nannying jobColleges - if ur reading Im jp,0,my résumé at this moment: does not do any extracurricular activities; has been laid off from nannying jobcolleges - if ur reading im jp,24
3868,This is where Im at with life right now. #unemployed http://t.co/PCMKpa10Pk,0,this is where im at with life right now. #unemployed http://t.co/pcmkpa10pk,11
2792,I got hired yesterday and started working the same day too 🖖🏽,1,i got hired yesterday and started working the same day too 🖖🏽,12
1036,My supervisor just talked to me about my performance at work. He is very happy that our boss hired me and he wants me to go full time. :D,0,my supervisor just talked to me about my performance at work. he is very happy that our boss hired me and he wants me to go full time. :d,29
6864,You might get hired fired or promoted because of Google. Learn more from HBR - http://t.co/8oXLr66a,0,you might get hired fired or promoted because of google. learn more from hbr - http://t.co/8oxlr66a,16
5037,On a personal noteI was recently fired because my job knew I was about to leave for a (much)better position.Inadvertent blessing though. :),1,on a personal notei was recently fired because my job knew i was about to leave for a (much)better position.inadvertent blessing though. :),23
6438,Laid off yesterday morning and got a temporary gig today? Still looking for a permanent position but its better than nothing.,1,laid off yesterday morning and got a temporary gig today? still looking for a permanent position but its better than nothing.,21
9372,Top Story: Looking for a great career? Get Hired! https://t.co/1vxCFQSFja  #jobs #trending #jobsearch #career #job #gethired #hired #job #RT https://t.co/8blxHGHYZ1,0,top story: looking for a great career? get hired! https://t.co/1vxcfqsfja  #jobs #trending #jobsearch #career #job #gethired #hired #job #rt https://t.co/8blxhghyz1,21
4024,I just got hired at my new job congratulations. I plan on buying my own firearm to carry around.,1,i just got hired at my new job congratulations. i plan on buying my own firearm to carry around.,19
6575,Dude gets caught today busting a trap at work and doesnt get fired lmao I love it,0,dude gets caught today busting a trap at work and doesnt get fired lmao i love it,17
4063,Got hired today to write two new Batman chapter books. Which villains should I choose?,1,got hired today to write two new batman chapter books. which villains should i choose?,15
4058,I got hired before I got laid off today #boilergypsy,1,i got hired before i got laid off today #boilergypsy,10
2289,Looking for a new career? CNNMoney released its top ten fastest-growing jobs in the US of the decade: http://t.co/nWYbnrZikF,0,looking for a new career? cnnmoney released its top ten fastest-growing jobs in the us of the decade: http://t.co/nwybnrzikf,19
9445,I was unemployed for all of three hours yesterday Im not even kidding new job starts today,1,i was unemployed for all of three hours yesterday im not even kidding new job starts today,17
7392,Wow the @VanityFair rules for smoking weed are awkward and quite unfriendly. Bongs are the sound of unemployment? You need new friends VF.,0,wow the @vanityfair rules for smoking weed are awkward and quite unfriendly. bongs are the sound of unemployment? you need new friends vf.,23
1244,Once you find agency opportunities you are interested in contact the agency to find out what paperwork is required to bid for the contract.,0,once you find agency opportunities you are interested in contact the agency to find out what paperwork is required to bid for the contract.,24
9035,I am currently awake and at work. My childhood is dead,0,i am currently awake and at work. my childhood is dead,11
1031,As of June 8th no longer unemployed... just got hired as a data analyst / programmer at Cigna in Bloomfield...,1,as of june 8th no longer unemployed... just got hired as a data analyst / programmer at cigna in bloomfield...,20
4803,I have been unemployed for 6 months however this is my future. Sending Bernie Sanders delegates to Philly. https://t.co/mZNoVM9HFV,0,i have been unemployed for 6 months however this is my future. sending bernie sanders delegates to philly. https://t.co/mznovm9hfv,19
5495,Are you laid off and looking for work with little success? Work a few hours from your home http://t.co/3HQeJg7M4Y http://t.co/te2xyKLbcJ,0,are you laid off and looking for work with little success? work a few hours from your home http://t.co/3hqejg7m4y http://t.co/te2xyklbcj,20
5084,This position I got at my new job is love God is good all the tune,1,this position i got at my new job is love god is good all the tune,16
63,Crazy how I got laid off just last week &amp; got a new job already,1,crazy how i got laid off just last week &amp; got a new job already,15
5049,Ive been at my new job for a week and I just broke a fucking table in half so Im sure Im getting fired.,1,ive been at my new job for a week and i just broke a fucking table in half so im sure im getting fired.,24
811,#nopressure RT @TomSullBoston: I just quit my job for #TheBachelor Ben.,0,#nopressure rt @tomsullboston: i just quit my job for #thebachelor ben.,11
1685,Quit my job yesterday got a new one today,1,quit my job yesterday got a new one today,9
3532,Tomsula was put in a position to fail so @JedYork could fire him.  If he lasts the weekend Id be surprised.,0,tomsula was put in a position to fail so @jedyork could fire him.  if he lasts the weekend id be surprised.,22
5974,Hi Dorothysorry I missed your greeting this morningI was just hired yesterday for another temp job-start tomorrow https://t.co/zutSNPqclg,1,hi dorothysorry i missed your greeting this morningi was just hired yesterday for another temp job-start tomorrow https://t.co/zutsnpqclg,18
4699,I love how when reflecting on certain things we refer the the times Ive been unemployed as the periods where I was working from home.,0,i love how when reflecting on certain things we refer the the times ive been unemployed as the periods where i was working from home.,25
9152,Getting yelled at first thing and my lead guy for todays job is late I guess I was doing better when I was laid off,0,getting yelled at first thing and my lead guy for todays job is late i guess i was doing better when i was laid off,25
2013,First day at the new job and my emotions  are everywhere #still dont know if thats a good thing or a bad one but Im rolling with it,1,first day at the new job and my emotions  are everywhere #still dont know if thats a good thing or a bad one but im rolling with it,29
2942,Same day call interview and Hire! Thank You Jesus! I will officially have a teaching position this upcoming school year!,1,same day call interview and hire! thank you jesus! i will officially have a teaching position this upcoming school year!,20
526,I like how this kid try making fun of me for working at subway but the dude got fired from his job? Lmfao nice going dude,0,i like how this kid try making fun of me for working at subway but the dude got fired from his job? lmfao nice going dude,26
6081,@Chiefsfan007 Am I the only one who doesnt find this to be a big deal? Id rather a team hired based on ability even M. Singletary agreed.,0,@chiefsfan007 am i the only one who doesnt find this to be a big deal? id rather a team hired based on ability even m. singletary agreed.,27
9378,Looking For Entry-Level Social Media Work? 5 Tips To Get Hired http://t.co/LICfNcWh9D,1,looking for entry-level social media work? 5 tips to get hired http://t.co/licfncwh9d,12
5087,I started at my new job without quitting my 1st job. Who wants to dig me out of this one?,1,i started at my new job without quitting my 1st job. who wants to dig me out of this one?,20
8645,Is anyone hiring performers/singers/dancers/actors I am currently unemployed please let me know,0,is anyone hiring performers/singers/dancers/actors i am currently unemployed please let me know,12
1334,Here’s how you can switch careers without actually quitting https://t.co/M13HVH0Ock https://t.co/mjN4Hvs10m,0,here’s how you can switch careers without actually quitting https://t.co/m13hvh0ock https://t.co/mjn4hvs10m,11
9265,Heres a great opportunity for you thats in great demand.  Typing and data entry positions are available now. http://t.co/JN3gBTwdXM,0,heres a great opportunity for you thats in great demand.  typing and data entry positions are available now. http://t.co/jn3gbtwdxm,20
6793,55 or older? Elder Services of Cape Cod has immediate openings through their Bridge Back to Work program. http://t.co/1DSlpkZvVu,0,55 or older? elder services of cape cod has immediate openings through their bridge back to work program. http://t.co/1dslpkzvvu,19
1564,This morning I got a call from Walmart thats my 4th job offer this week I had to tell them I was no longer... https://t.co/Y9qMRo1BM4,1,this morning i got a call from walmart thats my 4th job offer this week i had to tell them i was no longer... https://t.co/y9qmro1bm4,25
5036,I am late on my first day at my new job and Im prob gonna get fired already I suck,1,i am late on my first day at my new job and im prob gonna get fired already i suck,20
3194,@jennmckee sorry you got laid off.  I fully understand applying for a job after job. I know how talented you are. You will be ok :),0,@jennmckee sorry you got laid off.  i fully understand applying for a job after job. i know how talented you are. you will be ok :),27
7353,Apparently my checking account shows I only got my salary this pay check not commission. I quit.,0,apparently my checking account shows i only got my salary this pay check not commission. i quit.,17
6194,I love my new position at wrk but man... Ive nvr ended a shift wishing that I worked at least 3 more hrs just to finish up paperwork.,1,i love my new position at wrk but man... ive nvr ended a shift wishing that i worked at least 3 more hrs just to finish up paperwork.,28
4677,I quit life after today lol.,0,i quit life after today lol.,6
7361,I am officially unemployed. Feels weird. I dont quite believe it yet.,0,i am officially unemployed. feels weird. i dont quite believe it yet.,12
7898,my old boss was my friend before i worked for him &amp; now that i quit he’s my friend again except now we know each other super well. it’s cool,0,my old boss was my friend before i worked for him &amp; now that i quit he’s my friend again except now we know each other super well. it’s cool,30
6300,About to go in and quit my job this morning fucking wish I wasnt blessed with health problems. Better then being fired.,0,about to go in and quit my job this morning fucking wish i wasnt blessed with health problems. better then being fired.,22
494,At my old job the HR manager made fun of me for going to the On The Run tour bc Jay Z &amp; Beyoncé are black so its ok that they fired me,0,at my old job the hr manager made fun of me for going to the on the run tour bc jay z &amp; beyoncé are black so its ok that they fired me,33
6476,Currently just chilling in new car and took some test shots with my phone so when I do serious shots with cam my composition is how I want.,0,currently just chilling in new car and took some test shots with my phone so when i do serious shots with cam my composition is how i want.,28
8942,Laid Off? Start a - Work at Home Business in 24 Hours or Less-  http://t.co/ty7TAItcGj,1,laid off? start a - work at home business in 24 hours or less-  http://t.co/ty7taitcgj,16
1834,I am looking for a #BookingAgent looking for great sales person For more info and to apply:  http://t.co/IjViG3EACn #jobs via @skillpages,0,i am looking for a #bookingagent looking for great sales person for more info and to apply:  http://t.co/ijvig3eacn #jobs via @skillpages,22
9439,On the Re-up today 😁 I got a nice check so Im good for another 2 months #unemployedbutpaid,0,on the re-up today 😁 i got a nice check so im good for another 2 months #unemployedbutpaid,18
1022,Interested in a #job in #Florida 526? This could be a great fit: https://t.co/TgcF5ehP4R #NowHiring #GetHired #Hiring,0,interested in a #job in #florida 526? this could be a great fit: https://t.co/tgcf5ehp4r #nowhiring #gethired #hiring,17
104,I JUST GOT HIRED ON THE SPOT AND I ALREADY LOVE MY BOSS HES SO NICE OMG I LOVE STARBUCKS,1,i just got hired on the spot and i already love my boss hes so nice omg i love starbucks,20
114,lost my job today which sucks but a friend hired me right away to watch her twins starting tomorrow. So tomorrow is a beach day!,1,lost my job today which sucks but a friend hired me right away to watch her twins starting tomorrow. so tomorrow is a beach day!,25
8126,Not working. &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; I need a job yo,0,not working. &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; i need a job yo,8
6911,Here are 7 things you can learn from being fired by Donald Trump!http://t.co/ZTaKxzvUKU,0,here are 7 things you can learn from being fired by donald trump!http://t.co/ztakxzvuku,13
4162,Im currently not in school unemployed and still living with my parents... #WhatIsLyf,0,im currently not in school unemployed and still living with my parents... #whatislyf,13
8643,Unemployed or On a Break? 5 Ways to Keep Your Job Skills Fresh https://t.co/lO1nHOnPu2,0,unemployed or on a break? 5 ways to keep your job skills fresh https://t.co/lo1nhonpu2,14
6737,A week ago I quit my job accepted another position &amp; started working out again #fitgirls #lifeisgood #finally,1,a week ago i quit my job accepted another position &amp; started working out again #fitgirls #lifeisgood #finally,18
5086,My new job just called me cause they havent heard from me in a few days uhhhh maybe its cause you gave me one shift this week?,0,my new job just called me cause they havent heard from me in a few days uhhhh maybe its cause you gave me one shift this week?,27
7832,Ive been at my new job for 2 weeks &amp; theyve texted almost every day asking me to cover a shift. I already hate this &amp; want to quit.,1,ive been at my new job for 2 weeks &amp; theyve texted almost every day asking me to cover a shift. i already hate this &amp; want to quit.,29
9402,This is my last full week of unemployment! Ill be so happy when I see my first grown up paycheck! #someonefinallyhiredme ☺,1,this is my last full week of unemployment! ill be so happy when i see my first grown up paycheck! #someonefinallyhiredme ☺,22
8808,Tired and hired. I now have 3 jobs.,1,tired and hired. i now have 3 jobs.,8
92,Got hired on the spot. God is so good to me,1,got hired on the spot. god is so good to me,11
3970,So I got hired I feel like a fucking boss YEaaaa!!! #winning,1,so i got hired i feel like a fucking boss yeaaaa!!! #winning,12
167,Got interviewed and hired and worked all in the same day. #EMPLOYED,1,got interviewed and hired and worked all in the same day. #employed,12
6182,My new position sucks but its kinda exciting too . Think Im just over this company,0,my new position sucks but its kinda exciting too . think im just over this company,16
8820,Just bought more equipment for trip and future work I got going on. Can’t wait to get a gimbal but my next buy with be this cage ! Already got hired to do someone music video ! I am hyped to start this new venture of my life! https://t.co/DAtn3DmPpm,1,just bought more equipment for trip and future work i got going on. can’t wait to get a gimbal but my next buy with be this cage ! already got hired to do someone music video ! i am hyped to start this new venture of my life! https://t.co/datn3dmppm,49
8264,Anyone know places that are hiring? Just got fired.,1,anyone know places that are hiring? just got fired.,9
7512,Im unemployed &amp; in bed. I just claimed weeks. Im awaiting a call from the foodstamp office while tweeting &amp; watching twerk videos. #TurnUp,0,im unemployed &amp; in bed. i just claimed weeks. im awaiting a call from the foodstamp office while tweeting &amp; watching twerk videos. #turnup,24
950,Job hunting with @Pshwazzy today step brothers style went well. Got hired on the spot and offered management positions. life,1,job hunting with @pshwazzy today step brothers style went well. got hired on the spot and offered management positions. life,20
7020,Today my car broke and then my laptop broke.. Should I start anticipating mourning the loss of my phone too Orr?.... #BadThingsComeInThrees,0,today my car broke and then my laptop broke.. should i start anticipating mourning the loss of my phone too orr?.... #badthingscomeinthrees,22
6158,Im off of work for the next 2 weeks until I start my new position.,1,im off of work for the next 2 weeks until i start my new position.,15
3572,I got the job!!!!! You can call me what you want but you cant call me unemployed!!!! Lol,1,i got the job!!!!! you can call me what you want but you cant call me unemployed!!!! lol,18
5277,Baby Im a Boss and your bitch unemployed,0,baby im a boss and your bitch unemployed,8
3911,#Accounting #Job in #BuddLake  NJ: Accountant - Entry Level at Accountemps http://t.co/g834qqV2Xs #Jobs #TweetMyJobs,0,#accounting #job in #buddlake  nj: accountant - entry level at accountemps http://t.co/g834qqv2xs #jobs #tweetmyjobs,15
294,Got hired right after I interviewed,1,got hired right after i interviewed,6
3969,Almost won in the works bingo for $50 and I got hired today lmao,1,almost won in the works bingo for $50 and i got hired today lmao,14
3061,Im bout to start back working out Yall. My new job has a gym,1,im bout to start back working out yall. my new job has a gym,14
2938,I had the shortest job ever. Got hired on Friday &amp; boss told me he changed his mind about offering the position when I came in 1st day. :O,1,i had the shortest job ever. got hired on friday &amp; boss told me he changed his mind about offering the position when i came in 1st day. :o,29
8851,I have a permit and I literally got hired at a job last week you are not in my life anymore you know nothing https://t.co/XWNJJXJZAr,1,i have a permit and i literally got hired at a job last week you are not in my life anymore you know nothing https://t.co/xwnjjxjzar,25
942,right so today I went to apply for a cashier position at this restaurant and it was hella fancy and I had no,0,right so today i went to apply for a cashier position at this restaurant and it was hella fancy and i had no,23
1627,I am thinking to quit my daytime #job. Because I earn more with this #SEO tool. http://t.co/kc51jalW4A #IT #tech #dev #TweetMyJobs,0,i am thinking to quit my daytime #job. because i earn more with this #seo tool. http://t.co/kc51jalw4a #it #tech #dev #tweetmyjobs,21
8858,I have been Hired by Exeter. #FootballManager,1,i have been hired by exeter. #footballmanager,7
4261,I was job searching &amp; wlc is looking for a new tech guy. Pretty sure Mr. Ballou got fired...,0,i was job searching &amp; wlc is looking for a new tech guy. pretty sure mr. ballou got fired...,19
4724,Every time I get in an argument with someone they say you dont work I aint been unemployed a full two weeks yet lol,0,every time i get in an argument with someone they say you dont work i aint been unemployed a full two weeks yet lol,24
9023,I am currently working on a computer that has BearShare installed! BEARSHARE! #throwback,0,i am currently working on a computer that has bearshare installed! bearshare! #throwback,13
9397,All hired. Now I just gotta take my drug test,1,all hired. now i just gotta take my drug test,10
7781,I am currently skipping class. So Im laying in bed watching puppy vines bc my test was hard and I earned this.  https://t.co/yLFB5ifQQT,0,i am currently skipping class. so im laying in bed watching puppy vines bc my test was hard and i earned this.  https://t.co/ylfb5ifqqt,24
2638,Has an interim head coach ever been fired? Asking for a friend 😉 #NFL #Titans  https://t.co/O6lTMg2zEE,0,has an interim head coach ever been fired? asking for a friend 😉 #nfl #titans  https://t.co/o6ltmg2zee,17
7834,So I quit the mover job last week and today was my first day at the new job. Back working at a warehouse.Definitely gotta get use to 5am-1pm,1,so i quit the mover job last week and today was my first day at the new job. back working at a warehouse.definitely gotta get use to 5am-1pm,28
7847,recently my grandma gave me a speech about how sometimes u gotta work at jobs u dont like RIGHT after she quit her Walmart job after 1 day,0,recently my grandma gave me a speech about how sometimes u gotta work at jobs u dont like right after she quit her walmart job after 1 day,28
8619,UNEMPLOYED ? sell someone elses products http://t.co/rGoFC2EaDX http://t.co/JDQElcHRcF ways to beat economy info news links ideas,0,unemployed ? sell someone elses products http://t.co/rgofc2eadx http://t.co/jdqelchrcf ways to beat economy info news links ideas,16
7252,I got fired from my job today. But thats ok because the place was very ghetto,0,i got fired from my job today. but thats ok because the place was very ghetto,16
4108,Well I was gonna go job hunting in CC tomorrow but ended up getting hired like 5 minutes ago,1,well i was gonna go job hunting in cc tomorrow but ended up getting hired like 5 minutes ago,19
332,Im searching for innovative individual who are seeking to run their own business. Come on now you know you tired of clocking in at work!,0,im searching for innovative individual who are seeking to run their own business. come on now you know you tired of clocking in at work!,25
8518,Got promoted at my day job and got a new night job today also signed the lease to a new apartment! Wow its been a crazy day!,1,got promoted at my day job and got a new night job today also signed the lease to a new apartment! wow its been a crazy day!,27
3650,I love my new jobs schedule but I despise my other ones work schedule like so much  fuck man,0,i love my new jobs schedule but i despise my other ones work schedule like so much  fuck man,20
6077,5 Steps to Getting Hired at The Perfect Company for You http://t.co/wbuEVOS8tM via @MarkSBabbitt,0,5 steps to getting hired at the perfect company for you http://t.co/wbuevos8tm via @marksbabbitt,14
8284,Got hired at my new job AND got free tickets to tomorrows Mexico vs. Nigeria game? Sounds like a great day to me ,1,got hired at my new job and got free tickets to tomorrows mexico vs. nigeria game? sounds like a great day to me ,24
107,So I got hired @ this financial service place &amp; I already quit today.,1,so i got hired @ this financial service place &amp; i already quit today.,14
8867,Hey guys I just got hired for a new modelling thing and also Im on two new reality tv shows for #2014 and make guest appearances on two!,1,hey guys i just got hired for a new modelling thing and also im on two new reality tv shows for #2014 and make guest appearances on two!,28
4624,Quit my job yesterday and got a job today #merica,1,quit my job yesterday and got a job today #merica,10
8334,Im already hired at my new job just waiting for my background check then Im good to start😌,1,im already hired at my new job just waiting for my background check then im good to start😌,18
6762,I was recently been given a position to volunteer once a week in a library at A.C.T.  -Exciting times- :D,1,i was recently been given a position to volunteer once a week in a library at a.c.t.  -exciting times- :d,21
3348,Natasha got fired and I got hired,1,natasha got fired and i got hired,7
