id,text,InformationType_label,ProcessedText
7167,Due to being unemployed these past 2 months my volunteer search service is at risk of going under. http://t.co/C9NMixqwjo,1,due to being unemployed these past 2 months my volunteer search service is at risk of going under. http://t.co/c9nmixqwjo
6255,So I was laid off due to downsizing today. Which normally isnt the sort of stuff Id post on twitter but I have a fantastic network so...,1,so i was laid off due to downsizing today. which normally isnt the sort of stuff id post on twitter but i have a fantastic network so...
985,This #job might be a great fit for you: Applications Development Analyst - https://t.co/GqK1CLHX06 #NowHiring #GetHired #IT #Tallahassee FL #Hiring https://t.co/tyPK569Tqr,0,this #job might be a great fit for you: applications development analyst - https://t.co/gqk1clhx06 #nowhiring #gethired #it #tallahassee fl #hiring https://t.co/typk569tqr
6625,Dell posted a job you might be interested in: Network Design Consultant - Dallas/Fort Worth Area US.,0,dell posted a job you might be interested in: network design consultant - dallas/fort worth area us.
7155,So I am not unemployed anymore (: 💰,0,so i am not unemployed anymore (: 💰
6519,My job just offered a forklifting position....Man God is Great!!!! #blessings,0,my job just offered a forklifting position....man god is great!!!! #blessings
1701,Lost your Job? laid Off? Need extra cash? Be Healthier? Love Social media? work from Home? I have an amazing... http://t.co/x07xSODZf4,0,lost your job? laid off? need extra cash? be healthier? love social media? work from home? i have an amazing... http://t.co/x07xsodzf4
1608,Looking for a full time or part time job?A new store is hiring in Tyler#watchcbs19http://t.co/ijso7au11Y http://t.co/OybsR3Ey0v,0,looking for a full time or part time job?a new store is hiring in tyler#watchcbs19http://t.co/ijso7au11y http://t.co/oybsr3ey0v
3651,I cant believe working 2 weeks straight is a normal thing at my new job,0,i cant believe working 2 weeks straight is a normal thing at my new job
2044,Looking for a #NewJob? #CareerCast has all your #Job and #Career needs at your fingertips. https://t.co/nkIUcXMpsk #CareerAdvice #GetHired,0,looking for a #newjob? #careercast has all your #job and #career needs at your fingertips. https://t.co/nkiucxmpsk #careeradvice #gethired
6320,Currently looking for a part-time position. Let me know if your job is hiring?,0,currently looking for a part-time position. let me know if your job is hiring?
6957,I Quit My #Job To Be A Travel Writer And Now Im Broke And Unemployed https://t.co/TJookgIRVd https://t.co/BZ8wIQgH0y,1,i quit my #job to be a travel writer and now im broke and unemployed https://t.co/tjookgirvd https://t.co/bz8wiqgh0y
4945,Anyone seeking an iOS developer ? Resume at http://t.co/BUeVm6VKzi #iosdev #hiring #jobs #objectivec #Swift #xcode,0,anyone seeking an ios developer ? resume at http://t.co/buevm6vkzi #iosdev #hiring #jobs #objectivec #swift #xcode
2278,Looking for a job? Electrical Engineer - Renewable Energy at Black &amp; Veatch (Centennial CO) http://t.co/Jj3c5xvcGk #green #jobs,0,looking for a job? electrical engineer - renewable energy at black &amp; veatch (centennial co) http://t.co/jj3c5xvcgk #green #jobs
1891,@davezatz laid off devs etc,1,@davezatz laid off devs etc
1352,This #job might be a great fit for you: STORE MANAGER CANDIDATE in Quitman TX - https://t.co/7tEt93KQrL #Retail #Quitman TX #Hiring,0,this #job might be a great fit for you: store manager candidate in quitman tx - https://t.co/7tet93kqrl #retail #quitman tx #hiring
2192,I guess technically I am unemployed for the next three days. So if you see me this weekend please buy me a drink.,1,i guess technically i am unemployed for the next three days. so if you see me this weekend please buy me a drink.
1779,So who wants to buy a GoPro package at a reduced price!? Unfortunately I got laid off my job and need to sell a GoPro....,1,so who wants to buy a gopro package at a reduced price!? unfortunately i got laid off my job and need to sell a gopro....
6708,I was fired from the Orange Juice Plant last week. I just couldnt concentrate.,1,i was fired from the orange juice plant last week. i just couldnt concentrate.
6960,i quit my job &amp; made more money unemployed,1,i quit my job &amp; made more money unemployed
4766,I am  an unemployed father of 5. I am trying to start a small businessbut i need help with start up funds. any suggestions or help please,1,i am  an unemployed father of 5. i am trying to start a small businessbut i need help with start up funds. any suggestions or help please
896,Looking for a change?? Search for new positions in your area  http://t.co/Q4hyfFb6Kt #OpportunityKnocks #WorkplaceDiversity,0,looking for a change?? search for new positions in your area  http://t.co/q4hyffb6kt #opportunityknocks #workplacediversity
1693,3 people quit at the DQ in Morris today and I applied.. if I dont get hired Im giving up all hope,1,3 people quit at the dq in morris today and i applied.. if i dont get hired im giving up all hope
4296,Finished a 2 yr nursing program school. Still unemployed ;_;,1,finished a 2 yr nursing program school. still unemployed ;_;
3534,Alright got fired from a volunteer position new low in life whatever still setting milestones.,1,alright got fired from a volunteer position new low in life whatever still setting milestones.
5334,Anyone hiring? I need to quit this job,0,anyone hiring? i need to quit this job
2012,I recently quit my job to roll in $9023 from my phone PRESS THE LINK INSIDE BIO to do it too https://t.co/D3vFJfPToV,0,i recently quit my job to roll in $9023 from my phone press the link inside bio to do it too https://t.co/d3vfjfptov
2280,Looking for a part-time position? CT Technologist - As Needed - Windsor NC https://t.co/3ctcDCmlTM #vidantjobs https://t.co/g51RgSpBmE,0,looking for a part-time position? ct technologist - as needed - windsor nc https://t.co/3ctcdcmltm #vidantjobs https://t.co/g51rgspbme
4492,Tesla Motors posted a job you might be interested in. Store Manager - Shanghai - Shanghai City China CN via Lin… https://t.co/yGjc4gyQLN*,0,tesla motors posted a job you might be interested in. store manager - shanghai - shanghai city china cn via lin… https://t.co/ygjc4gyqln*
69,The week after being laid off from my last job my boss removed my all traces of me from the company website -- all articles I wrote are now attributed to him.The developer who left a few months ago however is still listed as a team member &amp; his articles are still present.,1,the week after being laid off from my last job my boss removed my all traces of me from the company website -- all articles i wrote are now attributed to him.the developer who left a few months ago however is still listed as a team member &amp; his articles are still present.
6542,Today has been so busy but productive @ the same time. I was called to start a new job on Friday. Its a very part time position and I need,0,today has been so busy but productive @ the same time. i was called to start a new job on friday. its a very part time position and i need
5063,I quit my job earlier this week... What should I do now,1,i quit my job earlier this week... what should i do now
7358,I recently quit my job to generate $9023 from my phone PRESS THE LINK INSIDE BIO to do it too https://t.co/qH0OezdPW3,1,i recently quit my job to generate $9023 from my phone press the link inside bio to do it too https://t.co/qh0oezdpw3
5511,A client called my phone verbally harassed me &amp; disrespected me. I tell my boss and he blames it on me &amp; says Im the problem so I quit.,1,a client called my phone verbally harassed me &amp; disrespected me. i tell my boss and he blames it on me &amp; says im the problem so i quit.
1949,Recently lost my job and Im doing what I can to stay positive and plan the next few months. I feel theyre crucial.,1,recently lost my job and im doing what i can to stay positive and plan the next few months. i feel theyre crucial.
6293,I am currently looking for a position in #hospitality  please let me know if anyone knows of any sales positions.,0,i am currently looking for a position in #hospitality  please let me know if anyone knows of any sales positions.
2090,Looking to get hired as a front end developer? Join us in our Getting Hired for Front End Development http://t.co/tQcGlGWbsd,0,looking to get hired as a front end developer? join us in our getting hired for front end development http://t.co/tqcglgwbsd
2523,Looking for a new career in the tech industry? LightEdge has several open positions in both Des Moines &amp; KC! http://t.co/5LXVR8GD34,0,looking for a new career in the tech industry? lightedge has several open positions in both des moines &amp; kc! http://t.co/5lxvr8gd34
7437,I am looking for a Jr. Buyer/Expeditor CSR for a temp to hire position in southern LA County. Skills necessary are phone handling customer…,0,i am looking for a jr. buyer/expeditor csr for a temp to hire position in southern la county. skills necessary are phone handling customer…
7078,Listening to my daughter describe what she thinks my unemployed day is like is actually quite depressing.,1,listening to my daughter describe what she thinks my unemployed day is like is actually quite depressing.
6550,Today is my 2nd day working a new job at a work-from-home position!,0,today is my 2nd day working a new job at a work-from-home position!
2712,#Job #Bakersfield Store Protection Specialist at Ross Stores (Bakersfield CA): This position provides a visib... http://t.co/SaKYGbqOlU,0,#job #bakersfield store protection specialist at ross stores (bakersfield ca): this position provides a visib... http://t.co/sakygbqolu
7169,Looking for a new job? Get Paid Weekly with Us: https://t.co/UZTxo0Ya2Z #job #unemployed #needwork #bills #money #nowhiring #paychecks,0,looking for a new job? get paid weekly with us: https://t.co/uztxo0ya2z #job #unemployed #needwork #bills #money #nowhiring #paychecks
1928,Between the news of being laid off yesterday and then spending this afternoon in the ER with my oldest for a... http://t.co/8A3xzoZtKO,1,between the news of being laid off yesterday and then spending this afternoon in the er with my oldest for a... http://t.co/8a3xzoztko
7188,Yahoo! posted a job you might be interested in. Community Manager - Entertainment and Travel - Jordan JO via L... http://t.co/XnGzR8K17J,0,yahoo! posted a job you might be interested in. community manager - entertainment and travel - jordan jo via l... http://t.co/xngzr8k17j
893,I searching for a position as a registered nurse. #focusclass,0,i searching for a position as a registered nurse. #focusclass
7249,[Employment] Laid off yesterday... Shouldnt be worried (financially) but I am. - https://t.co/n7fgL3fDFR #taxreturn #taxes #taxrefund #p…,1,[employment] laid off yesterday... shouldnt be worried (financially) but i am. - https://t.co/n7fgl3fdfr #taxreturn #taxes #taxrefund #p…
5223,being unemployed during a daytime World Cup is fucking solid. I need to remember to unemployed again 4 years from now.,1,being unemployed during a daytime world cup is fucking solid. i need to remember to unemployed again 4 years from now.
7497,Looking for a new career? Search our Job Bank! Questions? Contact: jobbank@suncoasthr.org *All posted jobs must be for a HR related position,0,looking for a new career? search our job bank! questions? contact: jobbank@suncoasthr.org *all posted jobs must be for a hr related position
1210,Got laid off today :/#work,1,got laid off today :/#work
7260,My résumé at this moment: does not do any extracurricular activities; has been laid off from nannying jobColleges - if ur reading Im jp,1,my résumé at this moment: does not do any extracurricular activities; has been laid off from nannying jobcolleges - if ur reading im jp
4558,@IheartsBrit thats Good I told U They Fired Us Right?,1,@iheartsbrit thats good i told u they fired us right?
3122,Oh yeah I quit my serving job today also!  Gosh its just a bad month,1,oh yeah i quit my serving job today also!  gosh its just a bad month
38,Suuurrrrrree I couldnt get laid off 3 weeks ago BEFORE I bought my new car. #unemployed #hireme #job #FML,1,suuurrrrrree i couldnt get laid off 3 weeks ago before i bought my new car. #unemployed #hireme #job #fml
2830,Looking for a work study job? Want to work off-campus at $9.00 - $10.00/hour? View available jobs: https://t.co/PGCa0TQfHy https://t.co/ityk9vNCvg,0,looking for a work study job? want to work off-campus at $9.00 - $10.00/hour? view available jobs: https://t.co/pgca0tqfhy https://t.co/ityk9vncvg
1133,Yes I am sending resumes and filing out job applications on Christmas.,0,yes i am sending resumes and filing out job applications on christmas.
3915,#AlexandriaLA Louisiana #EmergencyMedicine #Job: Emergency Medicine in Loui... at VISTA Staffing Solutions http://t.co/gFhJpUJ0,0,#alexandriala louisiana #emergencymedicine #job: emergency medicine in loui... at vista staffing solutions http://t.co/gfhjpuj0
5708,Ive decided to liberally use the word sabbatical as to what Im doing when Im between work. Im not unemployed - Im on sabbatical,1,ive decided to liberally use the word sabbatical as to what im doing when im between work. im not unemployed - im on sabbatical
5650,I got laid off.  Why is not an emergency?  http://t.co/s8LUiWqMx2,1,i got laid off.  why is not an emergency?  http://t.co/s8luiwqmx2
2492,Interested in a #job in #Louisville Kentucky? This could be a great fit: https://t.co/6SWTdQfpTX #NowHiring #GetHired #Manufacturing,0,interested in a #job in #louisville kentucky? this could be a great fit: https://t.co/6swtdqfptx #nowhiring #gethired #manufacturing
1357,Interested in a #job near #Mesquite TX? This could be a great fit: https://t.co/C5lequ0zFW #Labor #Hiring #CareerArc,0,interested in a #job near #mesquite tx? this could be a great fit: https://t.co/c5lequ0zfw #labor #hiring #careerarc
941,Today I got a paid summer lab position bought a suit got to see my family from CT and got a new car!!! Its been a damn good day.,0,today i got a paid summer lab position bought a suit got to see my family from ct and got a new car!!! its been a damn good day.
5097,I was fired in plot to give Sheldon Silver’s mistress a job. https://t.co/nITDhe6xMu https://t.co/KwEvqfOc2G,1,i was fired in plot to give sheldon silver’s mistress a job. https://t.co/nitdhe6xmu https://t.co/kwevqfoc2g
2224,And now Im unemployed again 😒 #fucking#sequester http://t.co/mkRlgxwihe,1,and now im unemployed again 😒 #fucking#sequester http://t.co/mkrlgxwihe
7501,I am job searching for: Work at home jobs! http://t.co/4tgcXWg6JK — Walker Inklebarger (@Walker_marocliv.... http://t.co/1xsVyjqnJg,1,i am job searching for: work at home jobs! http://t.co/4tgcxwg6jk — walker inklebarger (@walker_marocliv.... http://t.co/1xsvyjqnjg
7250,Update: I got laid off from my job today so I am going back to applying for jobs,1,update: i got laid off from my job today so i am going back to applying for jobs
4148,I am currently unemployed and looking.  If it involves technology audio/video building relationships selling a brand I am your man.,1,i am currently unemployed and looking.  if it involves technology audio/video building relationships selling a brand i am your man.
2631,4th best in league with depleted roster &amp; still gets fired? https://t.co/vkVtZGSclq,1,4th best in league with depleted roster &amp; still gets fired? https://t.co/vkvtzgsclq
1213,Yesterday I was laid off. Today I played with my kiddo talked with a TON of people am sprucing up my resume coffee meeting at 2. #islay,1,yesterday i was laid off. today i played with my kiddo talked with a ton of people am sprucing up my resume coffee meeting at 2. #islay
5648,Am I on track to officially retire after being laid off https://t.co/Y5HJjbH5vk,1,am i on track to officially retire after being laid off https://t.co/y5hjjbh5vk
6565,does anybody thats working know if the place youre working at is hiring? needa job,1,does anybody thats working know if the place youre working at is hiring? needa job
6860,Currently unemployed spending money I dont have and stressing about classes. Welcome back to college https://t.co/lmE9b1WKaX,1,currently unemployed spending money i dont have and stressing about classes. welcome back to college https://t.co/lme9b1wkax
136,whats funny is the job i had today wasnt even mine the guy didnt show up at all i just took over &amp; the designer hired me #blessed💃🏽,0,whats funny is the job i had today wasnt even mine the guy didnt show up at all i just took over &amp; the designer hired me #blessed💃🏽
7243,Was laid off this past Friday. If anyone knows of any job openings please let me know :) #Thankyou,1,was laid off this past friday. if anyone knows of any job openings please let me know :) #thankyou
1761,@jonniker Quinn was self employed and is now laid off and in eligible for unemployment and I am stabby. I hate the tax system.,1,@jonniker quinn was self employed and is now laid off and in eligible for unemployment and i am stabby. i hate the tax system.
5159,Being laid off for a month wont be so bad... Opportunities people! Theyre everywhere!,1,being laid off for a month wont be so bad... opportunities people! theyre everywhere!
7008,Today I got fired from work got my final paycheck. Gave my parents all my money $100 in cash &amp; told them I dont want it they can have it.,1,today i got fired from work got my final paycheck. gave my parents all my money $100 in cash &amp; told them i dont want it they can have it.
761,Looking for an accountant position? Then this job with you at Hayden CPA SC might be for you!JOB POST: Accountant https://t.co/KyRpOKaBsl,0,looking for an accountant position? then this job with you at hayden cpa sc might be for you!job post: accountant https://t.co/kyrpokabsl
6889,Yesterday I deliberately rendered myself unemployed w/o somewhere to land.Not smart but it was right.,1,yesterday i deliberately rendered myself unemployed w/o somewhere to land.not smart but it was right.
7270,And shitty thing is always on my bday something always happens to me at work like take today I got laid off and my bday is on Monday #fail,1,and shitty thing is always on my bday something always happens to me at work like take today i got laid off and my bday is on monday #fail
5415,LaRosas just fired me for not coming into work after I tried to go and couldnt because I was sliding all over the road.,1,larosas just fired me for not coming into work after i tried to go and couldnt because i was sliding all over the road.
5264,I can sleep late and still get in dumb sleep.... that unemployed lifestyle,1,i can sleep late and still get in dumb sleep.... that unemployed lifestyle
7361,I recently quit my job to make $7146 from my phone PRESS THE LINK INSIDE BIO to do it too https://t.co/Wh3mvz4lMD,0,i recently quit my job to make $7146 from my phone press the link inside bio to do it too https://t.co/wh3mvz4lmd
7625,RT @Afromighty: Yo @linkedin What do you mean Unemployed as Fuck isnt a position?,1,rt @afromighty: yo @linkedin what do you mean unemployed as fuck isnt a position?
2719,#Job #Buffalo (USA-NY-Buffalo) Account Executive 2 Job: POSITION TYPE: Full TimePOSTING JOB DESCRIPTION As a... https://t.co/Wdd0ZGC4Kq,0,#job #buffalo (usa-ny-buffalo) account executive 2 job: position type: full timeposting job description as a... https://t.co/wdd0zgc4kq
63,So I just got laid off work. #sucksballs but hey it just a job,1,so i just got laid off work. #sucksballs but hey it just a job
6267,So I got laid off today. About to take my account private so if youve been meaning to tell someone to follow me nows the time.,1,so i got laid off today. about to take my account private so if youve been meaning to tell someone to follow me nows the time.
5013,This job I got hired to fired me via a text message saying I did not catch on in the first 2 shifts how can anyone catch on that quickly?!,1,this job i got hired to fired me via a text message saying i did not catch on in the first 2 shifts how can anyone catch on that quickly?!
3545,Eww. The Job IS workplace Survivor and it looks like a horrible TV show. Unemployment is not entertainment.,1,eww. the job is workplace survivor and it looks like a horrible tv show. unemployment is not entertainment.
1655,Searching for #work in Mesquite TX? Send your #resume to Academy Sports + Outdoors. http://t.co/uedzUvfIis #gethired,0,searching for #work in mesquite tx? send your #resume to academy sports + outdoors. http://t.co/uedzuvfiis #gethired
7174,Searching for car insurance. So far being unemployed is...well its a thing.,1,searching for car insurance. so far being unemployed is...well its a thing.
3324,i am the only one who can be fired and rehired within 1 hour,0,i am the only one who can be fired and rehired within 1 hour
3905,#Accounting #Job in #Tempe AZ: Project Controls Manager at First Solar http://t.co/oT3b3HqJgV #Jobs #TweetMyJobs,0,#accounting #job in #tempe az: project controls manager at first solar http://t.co/ot3b3hqjgv #jobs #tweetmyjobs
6715,Fired again because I have to drink red wine and wear shawl collar sweaters next to a fireplace is not a valid reason to call off.,1,fired again because i have to drink red wine and wear shawl collar sweaters next to a fireplace is not a valid reason to call off.
521,Yea Im happy I got a new job. This white lady at my old job wouldve been hype this morning if I went in. I wouldve gotten fired today.,0,yea im happy i got a new job. this white lady at my old job wouldve been hype this morning if i went in. i wouldve gotten fired today.
187,Its a good day working at Chipotle is awesome and I just got hired at Jamba,0,its a good day working at chipotle is awesome and i just got hired at jamba
2744,#Job #LittleRock Applications Systems Analyst: AR-Little Rock Applications Systems Analyst - Senior Position... https://t.co/tq0p50rgrP,0,#job #littlerock applications systems analyst: ar-little rock applications systems analyst - senior position... https://t.co/tq0p50rgrp
4076,I love it when I get shit from people my age saying that cant find a job bro I applied today and got hired 5 hours later how lucky am I,0,i love it when i get shit from people my age saying that cant find a job bro i applied today and got hired 5 hours later how lucky am i
7022,So I got a part time job counseling kids and families. Was fired today. Riding Harleys and smoking cigars was cited as reason. Bad example.,1,so i got a part time job counseling kids and families. was fired today. riding harleys and smoking cigars was cited as reason. bad example.
5693,I finished at Barnes and Noble yesterday. I start my new job Monday. Enjoying 2 days of being an unemployed bum.,1,i finished at barnes and noble yesterday. i start my new job monday. enjoying 2 days of being an unemployed bum.
368,I am looking for a videographer who can do some outstanding music videos. I got a project I am working on,0,i am looking for a videographer who can do some outstanding music videos. i got a project i am working on
1724,And now I have no money I`m basically laid off and I can`t pay rent or these passed-due bills (again),1,and now i have no money i`m basically laid off and i can`t pay rent or these passed-due bills (again)
